,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
56451,Hiring All Restaurant Positions -  Servers - Cooks - Bartenders,LongHorn Steakhouse,Lexington,Kentucky,"Steer YOUR Success

At LongHorn, team members steer our success and their own. That&rsquo;s why we believe in hiring only Great People who can consistently deliver Great Food with a big helping of Genuine Western Hospitality. Our goal is to make every guest a loyal guest and we depend on our team members to make that happen.
&nbsp;
If you're hungry for a career with a restaurant company that offers world-class experiences, superior benefits, advancement opportunities and top-notch training, then welcome to the West.
&nbsp;
In each of our 400+ restaurants, we work to capture the flavor and fun of the American West. Opportunities with LongHorn are endless as we continue to open new locations across the country.&nbsp;
&nbsp;



Now Hiring in Lexington 
Servers 
Server Assistants/Hosts/Hostesses 
Bartenders
Line Cooks
Dishwasher/Prep Cooks
Utility

(Apply now by selecting the appropriate job title link above)

 

We offer our team members competitively superior Benefits
",Full-Time/Part-Time,Not Specified
15286,Human Resources Assistant,OfficeTeam,Rosemont,Illinois,"Ref ID: 01360-112993Classification: Personnel/Human ResourcesCompensation: $10.45 to $12.10 per hourA Client located near Rosemont is looking for a temporary Human Resource Assistant. The Human Resource Assistant must have excellent customer service skills since they will be assisting in phone screens, will be filing, and helping out with other clerical tasks that are assigned. The Human Resource Assistant must have good MS Word and Excel skills.",Seasonal/Temp,Not Specified
57183,Marketing Sales Representative,Elite Marketing Group,Salt Lake City,Utah,"Elite Marketing Group is currently seeking Marketing Sales Representatives to join our growing sales team within Salt Lake City International Airport.&nbsp; Marketing Sales Representatives work to drive credit card sales by encouraging all travelers within the airport to apply.&nbsp; Ideal candidates will exemplify friendly, outgoing personalities and will be comfortable working within a competitive sales environment.
For consideration, no previous marketing or promotions experience is necessary!&nbsp; Marketing Sales Representatives will receive training to ensure they have all the skills and product knowledge required to be successful.&nbsp;",Part-Time,Not Specified
39896,Math Instructor,Vatterott Educational Centers,Kansas City,Missouri,"

Vatterott College is currently accepting resumes of qualified applicants for a Math Instructor.  We are in the process of building up our applicant pool for possible future full time and part time instructors.

Specific responsibilities include:  


    Teaches college-level Algebra courses. 

 

    Prepares standardized course syllabus, outline and daily lesson plans and submits them to the Program Director no later than two weeks prior to the end of the term. 

 

    Ensures each course syllabus contains a student project requiring the use of online library resources or the campus Learning Resource Center. 



    Provides and reviews the course syllabus and outline with students on the first day of class.  Maintains and ensures consistency between the course objectives and the daily lesson plans. Provides and discusses syllabus modifications with students throughout the term. 



    Update and maintain current and accurate course information, including the course syllabus, for the faculty resource center 

 

    Continuous maintenance of the e-companion course shell including grades, course assignments, activities, and other relevant course content. Maintains accurate records of attendance, grades, progress of students, and reports the same in a timely manner to manager. 

  

    Prepares and administers examinations, student projects, and other teaching aids needed to fulfill objectives of program.  Sets up classroom, lab equipment, projects, assignments, etc in preparation for each new phase or class start. 

 

    Maintains clean, effective, and professional learning environment. 

 

    Attends all scheduled in-service activities, program advisory meetings, monthly program faculty meetings, campus staff and faculty meetings. 

 

    Submits an annual professional development plan to the Campus Director and/or Director of Education by December 1 for the next calendar year.  

 

    Completes all scheduled/assigned activities in support of the current year individual faculty development plan.  Submits documentation of completed professional development activities to the Campus Director and/or Director of Education before December 1 each calendar year. 

 

    Communicates program supply, equipment and staffing needs to the Program Director or Director of Education prior to the beginning of each term or as needed. 

 

    Serve as an Academic Advisor to an assigned list of students throughout their academic career at Vatterott.  Minimum of one appointment per term must be scheduled for each student. 

 


    Documented tutoring and advising of academically struggling students (below 70%) in your course must be completed on a weekly basis.  May include directing students to non-academic campus resources (retention, financial aid, registrar, etc.)




    Ensures classroom management and enforcement of school regulations and student code of conduct. 

 

    Participates in graduation ceremonies and other school events as required. 

 

    Completes administrative duties and other projects as assigned. 

 

    Consents to faculty classroom observations to be conducted in person and/or by electronic recording each term. 

 

    Serve as a new faculty mentor as assigned. 
",Full-Time/Part-Time,Master's Degree
33435,"Security Officer - 100,000 Jobs Coalition",Securitas USA,Fresno,California,"			Observes and reports activities and incidents at an assigned client site, providing for the security and safety of client property and personnel.			Makes periodic patrols to check for irregularities and to inspect protection devices and fire control equipment.			Preserves order and may act to enforce regulations and directives for the site pertaining to personnel, visitors, and premises.			Controls access to client site or facility through the admittance process.			Patrols assigned site on foot or in vehicle; checks for unsafe conditions, hazards, unlocked doors, security violations, blocked entrances and exits, mechanical problems, and unauthorized persons.			Protects evidence or scene of incident in the event of accidents, emergencies, or security investigations.			Responds to incidents of fire, medical emergency, bomb threat, flooding, water discharge, elevator emergency, hazardous materials, inclement weather, and other incidents.			Prepares logs and reports as required.",Full-Time/Part-Time,Not Specified
39876,LPN / RN Needed - Home Care,BAYADA HOME HEALTH CARE,Haw River,North Carolina,"Are you looking for the satisfaction of one-on-one care with great pay and flexible schedules?  As a BAYADA Pediatric, you will care for one client at a time while enjoying the 24-hours support of a strong pediatric nursing management team.  At BAYADA, you choose the days, the hours, the areas, and the clients that you work with.  BAYADA offers a teamwork environment and provides medical benefits, 401(k), paid time off, training, and much more.  

BAYADA Greensboro is currently seeking qualified RNs and LPNs to work with our clients on Sunday's from 300 pm - 1100 pm.  Willing to train the right candidate.  Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Part-Time,Associate Degree
67534,PART-TIME TECHNICIAN TRAINEE,Old South Exterminators,Ridgeland,South Carolina,"Old South Exterminators Looking for a motivated Part-Time Technician Trainee. Must have 10 yr. valid Driver's Lic. & pass drug test & background check. Apply in person  at: 1892 Malphrus Road, Ridgeland, SC. M-F, 8 to 5 or call 843-726-3463. Source - Island Packet - Hilton Head, SC",Part-Time,Not Specified
48192,Lab Support Assistant (Phlebotomist) - SJH - Part-timel 2nd Shift,KentuckyOne Health,Lexington,Kentucky,"Job Summary:
Performs a variety of clerical duties and coordinates communications between departments.  Performs blood collections (Phlebotomy) from patients and assumes responsibility for safety and comfort of patients, following established standards and practices.  Provides direct patient care to patients of all ages. 

Essential Duties:

After receiving an order from the attending physician, and in a quick and efficient manner and by following established departmental policies and/or procedures and safe work practices pertaining to specimen collection, preparation and analysis, collect requested specimen(s) for analysis.  
Ensure proper labeling, documentation and transport of specimens to maintain specimen quality. 
Perform analytical testing using approved bedside testing equipment and procedures. 
Utilize the appropriate procedure, technique and material for each test ordered ensuring that laboratory forms are correctly completed and patients are properly identified. 
Clean and stock phlebotomy tray and work area. 
Comprehend and follow infection control and blood borne pathogen policies and procedures. 
Perform telecommunication activities to include reporting laboratory results, taking verbal orders, transferring calls, describing specimen collection protocols, esoteric test research, and troubleshooting issues. 
Follow all safety and emergency procedures and contribute to the efficient operation of the laboratory. 
Document corrective actions taken when test systems deviate from the labortory's acceptable guidelines. 
Enter test results into the Laboratory Information System in order for standardized reports to be generated for physicians review and interpretation. 
Positively identify patient(s) or specimen(s) on which procedures are performed with 100% accuracy. 
Perform clerical duties which facilitate the flow of information through the laboratory and to the caregiver. ",Part-Time,High School Diploma
69698,"Licensed Practical Nurse for LPN Home Care in Croydon, PA",BAYADA HOME HEALTH CARE,Croydon,Pennsylvania,"With BAYADA Home Health Care, you will care for one patient! We are one of the largest providers of home care services nationwide. You’ll enjoy independence and flexibility, as well as 24-hour clinical support. With your nursing expertise, you can help our clients remain in the comfort of their homes surrounded by their families. 

We believe that our clients come first and that our employees are our greatest asset. Our work is guided by our fundamental values of compassion, excellence, and reliability. The ideal candidates will be compassionate with a strong commitment to excellence and reliability.

We encourage interested candidates to complete an online application or submit their resume to us for immediate consideration.[cr][cr]To learn more about this opportunity, please contact Jill Pusak at 215-752-8500 or [Click Here to Email Your Resumé].Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Full-Time/Part-Time,Associate Degree
16304,Retail Sales Associate (Entry Level Management),"Sofa Mart, Oak Express, Bedroom Expressions and Furniture Row",Green Bay,Wisconsin,"Furnishing You With Opportunity.
&nbsp;&nbsp;
Have you had success as a Retail Sales Associate or Sales Consultant? Are you looking to take the next step in your career? Sofa Mart &amp; Oak Express offers successful Sales Associates an Entry Level Retail Management Training Program! We are seeking experienced Associates and Consultants to join our team of Trainees who have gone on to success in Store Management. Our program allows you to enjoy a high earning potential while working in a fun and energetic environment! We are a leading company in our industry. If you have the drive to grow, learn and succeed, Sofa Mart &amp; Oak Express is a place where you can get promoted quickly as long as you are willing to work hard and put learning into action!
&nbsp;&nbsp;
Like our products, careers at Sofa Mart &amp; Oak Express are built to last. Our strong industry position creates a stable workplace where you can feel secure in your success.
&nbsp;&nbsp;
Benefits&nbsp;
As a Retail Sales Associate in training, you will have access to a world class management training program with the opportunity to gain valuable experience by partnering with dedicated and successful Store Managers! As an Entry Level Retail Sales Manager Trainee, we recognize your drive and ambition, and we want to help you advance on your desired career path. With us, you will have access to the training and resources you need to thrive at your new career. Sofa Mart &amp; Oak Express gives you the keys to succeed as a Retail Sales Manager!
&nbsp;&nbsp;
We recognize that you dedicate time and effort to your job, and we want you to have the resources to keep achieving. Here are some of the benefits our Trainees enjoy!

    Paid Training
    Commissions pay plus bonus opportunities
    Medical and Dental benefits
    Paid Vacation
    401(k) retirement savings plan
    Additional cash rewards

&nbsp;&nbsp;

Retail Sales Associate &ndash; Entry Level Management &ndash; Consultant &ndash; Store Manager Training

&nbsp;&nbsp;
Job Responsibilities
As a Retail Sales Associate in training, you will be selling our unique array of furniture and accessories. You will receive hands on training in sales, marketing and business development techniques. You will shadow a Store Manager, learning all of the aspects of retail and people management. Our program hinges on understanding, mastering and being able to lead your own team.
&nbsp; &nbsp;
Other responsibilities of the Management Trainee position include:

    Greeting and assisting customers ascertaining their furniture wants and needs
    Answering customer questions and inquiries regarding products and services
    Seeking out information and knowledge regarding new products
    Setting and achieving personal goals
    Presenting pricing, preparing contracts and processing transactions in POS
    Placing orders and locating stock
    Maintaining knowledge of current promotions and policies regarding payment, exchanges and store security
    Participating in merchandising and product displays

&nbsp;&nbsp;

Retail Sales Associate &ndash; Entry Level Management &ndash; Consultant &ndash; Store Manager Training
",Full-Time/Part-Time,Not Specified
73063,Intern Co-op,Crown Castle International Corp.,Canonsburg,Pennsylvania,"Description:  Position Title: Finance Intern/Co-op  Position Summary Temporary position for a finance or accounting student, generally for the summer, that is capable of assisting the Finance team with various accounting, general ledger, accounts payable, and accounts receivable functions.   Essential Job Functions Assist Crown Castle financial staff, as directed, with various tasks and projects including balance clean up, JDE testing, accounts payable, and accounts receivable. Work with other areas of Crown Castle (Property Management) to research and resolve outstanding balances. Other duties as assigned.   Education/Certifications Completion of second year of study in a certified finance or accounting program.  Experience/Minimum Requirements Second year of school completion required, but preferable if third year and or previous internship/co-op experience.   Other Skills/Abilities Ability to use MS Office (Word/Excel/Access) JD Edwards experience  Capable of listening carefully and following directions Written and verbal communication skills ",Intern,Not Specified
26592,Customer Service Representative,OfficeTeam,Albany,New York,"Ref ID: 02880-108511Classification: Customer ServiceCompensation: DOEOur client in the Albany area is looking for a temporary part-time customer service representative. The part-time Customer Service representative will be responsible for setting up appointments. Candidate must have experience and an understanding of health insurance. If you are interested in the temporary customer service representative position, please apply to www.officeteam.com or please give Natalie a call at 518-462-1413!",Seasonal/Temp,Not Specified
50133,"Physician, Dermatology - PMG North Coast/Seaside, OR",Providence Health & Services,Seaside,Oregon,"Seaside, Oregon – Providence Medical Group is seeking a BE/BC Dermatologist to join our established, collaborative, employed physician group with offices in Seaside and nearby Cannon Beach and Warrenton.  Position is part-time, three days per week. Great opportunity to practice general dermatology (no cosmetic or Mohs surgery) in a beautiful, unique, smaller community. Competitive compensation.
 
Providence North Coast Clinic, with offices in Seaside, Canon Beach and Warrenton, is part of Providence Medical Group, our organization of employed providers in Oregon. PMG in Oregon operates more than 70 clinics across this diverse, sprawling state. Our 550-plus providers in Oregon have a wide range of clinical expertise, including Family and Internal Medicine, Women’s Health, Dermatology, General Surgery, Neurology and Hospital Medicine. We receive clinical and operational support from a number of centralized Providence programs such as Quality and Research, Medical Management and Information Services.
 
Located at the end of the Lewis and Clark trail, Seaside is a popular town for a reason: It’s simply a great place to live and raise a family! This small coastal community, population 6,000, is nationally known for its magnificent seascapes, lush forests, and sunny, moderate summer climate. Recreational opportunities abound, including beachcombing, whale watching, surfing, hunting and fishing, hiking and a variety of festivals. Portland is just a pleasant 90-minute drive, offering big-city shopping, dining, arts and entertainment.
 
Providence Medical Group is part of Providence Health & Services, a not-for-profit network of hospitals, clinics and physician partners in Alaska, California, Montana, Oregon and Washington. Providence has a proud 150-year history in the West, and we continue to grow with the communities we serve. With more than 300 provider opportunities in virtually all specialties, we offer diverse lifestyle choices, flexible work arrangements and robust practice support. Learn more at www.providence.org/providerjobs.",Part-Time,Not Specified
32751,Assistant Office Manager,Accountemps,Rosemont,Illinois,"Ref ID:01360-113057Classification:Accounting ClerkCompensation:$15.00 to $16.00 per hourA Robert Half / Accountemps client in the Rosemont vicinity is seeking an Assistant Office Manager for a temporary to full-time opportunity. Duties include but are not limited to Invoicing, Accounts Payable, Accounts Receivable, Customer/Client services, and Administrative tasks. The right candidate must have proficiency using Microsoft Office and QuickBooks; strong communication and organizational skills; and a can do attitude. Manufacturing experience is greatly preferred. If you meet the qualifications for this Assistant Office Manager for Accountemps, please apply and forward your resume to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
69657,Social Worker (SW) - Home Care,VITAS Healthcare,Middlebury,Connecticut,"The Social Worker is the member of the interdisciplinary team whose primary function is to provide diagnostic evaluations of the psychosocial problems of the patient/family unit, defining social service goals for alleviating these problems, and helping to provide both the counseling and casework needed to meet these goals.",Part-Time,Not Specified
74964,Receptionist,OfficeTeam,Baton Rouge,Louisiana,"Ref ID: 04670-001335Classification: Receptionist/SwitchboardCompensation: DOEA college in the Baton Rouge area is looking for a strong receptionist to work with students, faculty, and staff. This individual would need to have basic word and excel skills, be able to multitask, work in a fast pace environment, and assist with any administrative projects needed. This is a 4-6 week project and will need to be able to work some Saturdays 9-12pm.",Seasonal/Temp,Not Specified
